State,Year,Forecasted_CVD_Incidences,Lower_80,Upper_80,Lower_95,Upper_95
Telangana,2023,270870.2115006538,267823.9032295259,273916.51977178175,266211.28504170955,275529.1379595981
Telangana,2024,276941.89148251055,273536.0152951796,280347.7676698415,271733.0533503247,282150.7296146964
Telangana,2025,283013.5714643672,279282.62103262555,286744.52189610887,277307.57517758466,288719.56775114976
Telangana,2026,289085.25144622393,285055.36439510214,293115.13849734573,282922.0710527713,295248.4318396766
Telangana,2027,295156.93142808066,290848.80095588224,299465.0619002791,288568.2144437428,301745.6484124185
Telangana,2028,301228.6114099374,296659.1490032455,305798.07381662924,294240.221721521,308217.00109835376
Telangana,2029,307300.2913917941,302483.65509590716,312116.92768768105,299933.88186105073,314666.7009225375
Telangana,2030,313371.97137365077,308320.240608107,318423.70213919453,305646.0158785622,321097.92686873936
Tripura,2020,27559.680147735773,27478.279671832635,27641.08062363891,27435.188862808995,27684.17143266255
Tripura,2021,28259.049442280444,28143.931785274603,28374.167099286286,28082.992178739743,28435.106705821145
Tripura,2022,28958.41873682512,28817.4289768006,29099.40849684964,28742.793506232407,29174.04396741783
Tripura,2023,29657.788031369793,29494.987079563518,29820.58898317607,29408.80546151624,29906.770601223347
Tripura,2024,30357.157325914464,30175.140328394216,30539.174323434712,30078.786350211896,30635.528301617032
Tripura,2025,31056.52662045914,30857.136989676736,31255.916251241542,30751.5864949651,31361.466745953177
Tripura,2026,31755.895915003814,31540.530499161807,31971.26133084582,31426.52293469268,32085.268895314948
Tripura,2027,32455.26520954849,32225.029895536805,32685.50052356017,32103.150682467087,32807.37973662989
Tripura,2028,33154.63450409316,32910.43307638375,33398.835931802576,32781.160649312835,33528.10835887349
Tripura,2029,33854.00379863783,33596.59289216226,34111.4147051134,33460.32778942823,34247.67980784743
Tripura,2030,34553.37309318251,34283.39825685544,34823.34792950958,34140.48221141117,34966.26397495386
Uttar Pradesh,2020,1265636.3742565645,1255135.211845556,1276137.536667573,1249576.2322578023,1281696.5162553268
Uttar Pradesh,2021,1300348.9744424592,1285498.0881401284,1315199.86074479,1277636.5038141718,1323061.4450707466
Uttar Pradesh,2022,1335061.574628354,1316873.0277939548,1353250.1214627533,1307244.592709727,1362878.5565469812
Uttar Pradesh,2023,1369774.1748142485,1348771.8499922315,1390776.4996362654,1337653.8908167237,1401894.4588117732
Uttar Pradesh,2024,1404486.7750001433,1381005.4620063626,1427968.087993924,1368575.2057626112,1440398.3442376754
Uttar Pradesh,2025,1439199.375186038,1413476.8855729722,1464921.8647991037,1399860.2220924282,1478538.5282796477
Uttar Pradesh,2026,1473911.9753719326,1446128.5111553045,1501695.4395885607,1431420.8336228237,1516403.1171210415
Uttar Pradesh,2027,1508624.5755578273,1478922.8029531657,1538326.3481624888,1463199.6343012522,1554049.5168144023
Uttar Pradesh,2028,1543337.175743722,1511833.6885106964,1574840.6629767474,1495156.7497474349,1591517.601740009
Uttar Pradesh,2029,1578049.7759296168,1544842.1846314846,1611257.367227749,1527263.1476677987,1628836.4041914348
Uttar Pradesh,2030,1612762.3761155112,1577933.960535612,1647590.7916954104,1559496.911025788,1666027.8412052344
Uttarakhand,2020,76339.80320011749,76178.0857511239,76501.52064911107,76092.4777048188,76587.12869541618
Uttarakhand,2021,78285.17064517247,78056.46763553335,78513.8736548116,77935.39957540041,78634.94171494454
Uttarakhand,2022,80230.53809022748,79950.43525210014,80510.64092835481,79802.157766363,80658.91841409195
Uttarakhand,2023,82175.90553528247,81852.47063729528,82499.34043326965,81681.25454468509,82670.55652587985
Uttarakhand,2024,84121.27298033747,83759.66177123995,84482.88418943499,83568.23636028079,84674.30960039415
Uttarakhand,2025,86066.64042539246,85670.51519285359,86462.76565793132,85460.81916152954,86672.46168925537
Uttarakhand,2026,88012.00787044744,87584.14371775063,88439.87202314426,87357.64611700123,88666.36962389365
Uttarakhand,2027,89957.37531550243,89499.9692962242,90414.78133478067,89257.83317595832,90656.91745504654
Uttarakhand,2028,91902.74276055742,91417.59041357665,92387.89510753819,91160.76627466134,92644.7192464535
Uttarakhand,2029,93848.11020561242,93336.71472940057,94359.50568182427,93065.99831703928,94630.22209418556
Uttarakhand,2030,95793.47765066741,95257.12155030222,96329.8337510326,94973.19178167284,96613.76351966198
West Bengal,2020,723076.322138375,718163.2143842656,727989.4298924844,715562.3722442661,730590.272032484
West Bengal,2021,742344.9663232891,735396.782704027,749293.1499425512,731718.6364760484,752971.2961705298
West Bengal,2022,761613.6105082032,753103.858255025,770123.3627613813,748599.0675260797,774628.1534903266
West Bengal,2023,780882.2546931172,771056.0391848983,790708.4702013362,765854.3549048994,795910.1544813351
West Bengal,2024,800150.8988780312,789164.8559590611,811136.9417970013,783349.1961352762,816952.6016207861
West Bengal,2025,819419.5430629454,807384.9360140658,831454.150111825,801014.1998695388,837824.886256352
West Bengal,2026,838688.1872478593,825689.3259660226,851687.0485296961,818808.1444642469,858568.2300314717
West Bengal,2027,857956.8314327735,844060.4641942495,871853.1986712975,836704.171738292,879209.491127255
West Bengal,2028,877225.4756176875,862486.152355359,891964.7988800158,854683.6259353606,899767.3253000143
West Bengal,2029,896494.1198026015,880957.5089097811,912030.7306954219,872732.9239128362,920255.3156923668
West Bengal,2030,915762.7639875156,899467.8290125488,932057.6989624824,890841.8114952255,940683.7164798056
